name,title,url,is_ad,pricing_unit,price,real_price,rating
B0757B9VFG,"VTech AM18447 Main Console 4-Line Expandable Small Business Office Phone System with Answering Machine, Intercom, Auto Attendant & Music on Hold, Black",,false,$,149.95,149.95,4.2
B0D8P2P998,"Xgody Unlock Phone Mate 60,6.79 Inch HD+ Screen Smartphone,4G Dual SIM Cheap Mobile Phones 4GB+ 128GB Expanded 512G 5280mAh 21MP Camera T-Mobile Android Phone with Finger&Face Unlock Soft Pink",,false,$,79.99,79.99,4.4
B001S2PKP4,"AT&T TR1909 Trimline Corded Phone with Caller ID, White",,false,$,19.12,19.12,4.1
B0DN15W4L4,"AT&T 4-Handset Expandable DECT 6.0 Cordless Home Phone with Large Display, Big Buttons, Answering Machine, Smart Call Blocker, Long Range, Caller ID, Speakerphone, Intercom: CL82418 (Charcoal Black)",,false,$,109.95,109.95,4.5
B007P8DKZ2,"AT&T ML17929 2-Line Corded Telephone, Black",,false,$,50.65,65.95,4.3
B0CHYBKQPM,"Miracase Phone Holders for Your Car with Metal Hook Clip, Air Vent Cell Phone Stand Car Mount, Universal Automobile Cradle Fit for iPhone Android and All Smartphones, Dark Black",,false,$,12.99,19.99,4.4
B00GMQ5DO4,"VTech CS6719 DECT 6.0 Cordless Phone with Caller ID/Call Waiting, 1 Cordless Handset, Silver/Black",,false,$,20.31,21.95,4.5
B0CMTLGC9W,"Kids Smart Phone for Girls, Christmas Birthday Gifts for Girls Age 3-10 Kids Toys Cell Phone, 2.8"" Touchscreen Toddler Learning Play Toy Phone with Dual Camera, Game, Music Player, 8GB Card Purple",,false,$,35.9,39.99,4.3
B09QSLT9RT,"VTECH VG104-11 DECT 6.0 Cordless Phone for Home with Answering Machine, Blue-White Backlit Display, Backlit Buttons, Full Duplex Speakerphone, Caller ID/Call Waiting, Reliable 1000 ft Range (Black)",,false,$,28.45,28.45,4.3
B09PGQKPT4,"AT&T CL82319 DECT 6.0 3-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Intercom and Long Range, Black",,false,$,78.95,78.95,4.4
B0D7FVQ1ZB,"Apple EarPods Headphones with Lightning Connector, Wired Ear Buds for iPhone with Built-in Remote to Control Music, Phone Calls, and Volume",,false,$,15.96,19,4.6
B0C1NK79FK,"Car Phone Holder Mount, Super Stable Air Vent Cell Phone Car Mount with 2025 Metal Hook Clip, 360° Rotation,One Button Release for iPhone, Samsung, Google, and All Other Smartphones",,false,$,9.99,13.99,4.4
